fitsfile,center_ra,center_dec,radius,overlaps
P239+50_mosaic-blanked.fits,239.20435077357067,50.074616664856336,2.690622315326592,P235+50_mosaic-blanked.fits;P236+48_mosaic-blanked.fits;P236+53_mosaic-blanked.fits;P236+55_mosaic-blanked.fits;P240+45_mosaic-blanked.fits;P240+48_mosaic-blanked.fits;P240+53_mosaic-blanked.fits;P241+55_mosaic-blanked.fits;P243+50_mosaic-blanked.fits
P236+53_mosaic-blanked.fits,236.1983145235172,52.56581666468754,2.980618892027738,P231+50_mosaic-blanked.fits;P231+53_mosaic-blanked.fits;P232+55_mosaic-blanked.fits;P233+48_mosaic-blanked.fits;P235+50_mosaic-blanked.fits;P236+48_mosaic-blanked.fits;P236+55_mosaic-blanked.fits;P237+58_mosaic-blanked.fits;P239+50_mosaic-blanked.fits;P240+53_mosaic-blanked.fits;P241+55_mosaic-blanked.fits
P222+60_mosaic-blanked.fits,222.95716627304017,60.0156166640409,2.951246111086571,P217+57_mosaic-blanked.fits;P217+60_mosaic-blanked.fits;P222+58_mosaic-blanked.fits;P223+55_mosaic-blanked.fits;P227+58_mosaic-blanked.fits;P228+60_mosaic-blanked.fits
P4Hetdex16_mosaic-blanked.fits,164.07232136221774,52.122516664718965,2.9749964326372758,P159+52_mosaic-blanked.fits;P160+55_mosaic-blanked.fits;P164+55_mosaic-blanked.fits;P165+57_mosaic-blanked.fits;P169+55_mosaic-blanked.fits;P2Hetdex01_mosaic-blanked.fits;P3Hetdex16_mosaic-blanked.fits;P6_mosaic-blanked.fits;P8Hetdex_mosaic-blanked.fits
P40Hetdex19_mosaic-blanked.fits,204.37640729147532,45.332816665133954,2.890620282220066,P1Hetdex15_mosaic-blanked.fits;P202+42_mosaic-blanked.fits;P205+42_mosaic-blanked.fits;P206+50_mosaic-blanked.fits;P207+45_mosaic-blanked.fits;P36Hetdex10_mosaic-blanked.fits;P39Hetdex19_mosaic-blanked.fits;P42Hetdex07_mosaic-blanked.fits
P241+55_mosaic-blanked.fits,241.17127165060774,55.105316664494495,2.8743683806672737,P236+53_mosaic-blanked.fits;P236+55_mosaic-blanked.fits;P237+58_mosaic-blanked.fits;P239+50_mosaic-blanked.fits;P240+53_mosaic-blanked.fits;P241+58_mosaic-blanked.fits;P243+50_mosaic-blanked.fits;P244+53_mosaic-blanked.fits;P245+55_mosaic-blanked.fits
P156+47_mosaic-blanked.fits,156.62238773338012,47.11481666503547,2.9037456500624974,P152+45_mosaic-blanked.fits;P152+47_mosaic-blanked.fits;P154+50_mosaic-blanked.fits;P155+52_mosaic-blanked.fits;P156+42_mosaic-blanked.fits;P156+45_mosaic-blanked.fits;P158+50_mosaic-blanked.fits;P159+45_mosaic-blanked.fits;P160+47_mosaic-blanked.fits
P33Hetdex08_mosaic-blanked.fits,193.77032136221771,52.122516664718965,2.6274958548327616,P191+55_mosaic-blanked.fits;P193+57_mosaic-blanked.fits;P196+55_mosaic-blanked.fits;P29Hetdex19_mosaic-blanked.fits;P30Hetdex06_mosaic-blanked.fits;P31Hetdex19_mosaic-blanked.fits;P34Hetdex06_mosaic-blanked.fits;P37Hetdex15_mosaic-blanked.fits
P30Hetdex06_mosaic-blanked.fits,191.64835514997256,49.748416664877155,2.363744136918275,P26Hetdex03_mosaic-blanked.fits;P27Hetdex09_mosaic-blanked.fits;P29Hetdex19_mosaic-blanked.fits;P31Hetdex19_mosaic-blanked.fits;P33Hetdex08_mosaic-blanked.fits;P34Hetdex06_mosaic-blanked.fits;P8Hetdex28_mosaic-blanked.fits
P226+42_mosaic-blanked.fits,226.839435105852,42.47251666527974,2.629992636577914,P221+45_mosaic-blanked.fits;P223+42_mosaic-blanked.fits;P225+45_mosaic-blanked.fits;P225+47_mosaic-blanked.fits;P229+45_mosaic-blanked.fits;P229+48_mosaic-blanked.fits;P230+42_mosaic-blanked.fits
P202+42_mosaic-blanked.fits,202.29443633088638,42.33631666528635,2.912497130507229,P198+42_mosaic-blanked.fits;P205+42_mosaic-blanked.fits;P207+45_mosaic-blanked.fits;P36Hetdex10_mosaic-blanked.fits;P39Hetdex19_mosaic-blanked.fits;P40Hetdex19_mosaic-blanked.fits
P145+60_mosaic-blanked.fits,145.70917656343076,59.601616664084204,2.9818753664597573,P140+60_mosaic-blanked.fits;P141+57_mosaic-blanked.fits;P145+57_mosaic-blanked.fits;P146+55_mosaic-blanked.fits;P150+57_mosaic-blanked.fits;P150+60_mosaic-blanked.fits
P34Hetdex06_mosaic-blanked.fits,195.89135514997255,49.748416664877155,2.363744136918275,P30Hetdex06_mosaic-blanked.fits;P31Hetdex19_mosaic-blanked.fits;P32Hetdex08_mosaic-blanked.fits;P33Hetdex08_mosaic-blanked.fits;P35Hetdex10_mosaic-blanked.fits;P37Hetdex15_mosaic-blanked.fits;P38Hetdex07_mosaic-blanked.fits
P18Hetdex03_mosaic-blanked.fits,178.92135514997256,49.748416664877155,2.363744136918275,P14Hetdex04_mosaic-blanked.fits;P15Hetdex13_mosaic-blanked.fits;P16Hetdex13_mosaic-blanked.fits;P178+55_mosaic-blanked.fits;P17_mosaic-blanked.fits;P19Hetdex17_mosaic-blanked.fits;P21_mosaic-blanked.fits;P22Hetdex04_mosaic-blanked.fits
P145+57_mosaic-blanked.fits,145.9882330241825,57.09421666432531,3.2443728586107543,P140+60_mosaic-blanked.fits;P141+57_mosaic-blanked.fits;P142+55_mosaic-blanked.fits;P143+52_mosaic-blanked.fits;P145+60_mosaic-blanked.fits;P146+55_mosaic-blanked.fits;P147+52_mosaic-blanked.fits;P150+57_mosaic-blanked.fits;P150+60_mosaic-blanked.fits;P151+55_mosaic-blanked.fits
P237+43_mosaic-blanked.fits,237.37243454265902,42.53481666527671,2.8012453814727136,P232+45_mosaic-blanked.fits;P233+43_mosaic-blanked.fits;P236+45_mosaic-blanked.fits;P236+48_mosaic-blanked.fits;P240+43_mosaic-blanked.fits;P240+45_mosaic-blanked.fits
P345+33_mosaic-blanked.fits,345.67750141761326,33.31091666567109,2.8079198313145617,
P232+45_mosaic-blanked.fits,232.87141056411707,45.017516665150715,3.076871413529448,P229+45_mosaic-blanked.fits;P229+48_mosaic-blanked.fits;P230+42_mosaic-blanked.fits;P231+50_mosaic-blanked.fits;P233+43_mosaic-blanked.fits;P233+48_mosaic-blanked.fits;P235+50_mosaic-blanked.fits;P236+45_mosaic-blanked.fits;P236+48_mosaic-blanked.fits;P237+43_mosaic-blanked.fits
P193+57_mosaic-blanked.fits,193.8222277362237,57.34771666430244,2.629369254522147,P189+57_mosaic-blanked.fits;P191+55_mosaic-blanked.fits;P191+60_mosaic-blanked.fits;P196+55_mosaic-blanked.fits;P197+60_mosaic-blanked.fits;P198+57_mosaic-blanked.fits;P33Hetdex08_mosaic-blanked.fits
P214+45_mosaic-blanked.fits,214.57541163893902,44.912816665156264,2.860620513288974,P210+45_mosaic-blanked.fits;P210+47_mosaic-blanked.fits;P212+42_mosaic-blanked.fits;P213+47_mosaic-blanked.fits;P215+50_mosaic-blanked.fits;P216+42_mosaic-blanked.fits;P217+47_mosaic-blanked.fits;P218+45_mosaic-blanked.fits
P230+42_mosaic-blanked.fits,230.3474349207293,42.49301666527874,2.6849960951468814,P225+45_mosaic-blanked.fits;P226+42_mosaic-blanked.fits;P229+45_mosaic-blanked.fits;P229+48_mosaic-blanked.fits;P232+45_mosaic-blanked.fits;P233+43_mosaic-blanked.fits
P227+55_mosaic-blanked.fits,227.6052731231992,55.02431666450102,3.14499794454244,P222+58_mosaic-blanked.fits;P223+52_mosaic-blanked.fits;P223+55_mosaic-blanked.fits;P227+50_mosaic-blanked.fits;P227+53_mosaic-blanked.fits;P227+58_mosaic-blanked.fits;P228+60_mosaic-blanked.fits;P231+53_mosaic-blanked.fits;P232+55_mosaic-blanked.fits;P232+58_mosaic-blanked.fits
P31Hetdex19_mosaic-blanked.fits,193.7703833361637,47.493116665013716,2.4718716844223474,P191+42_mosaic-blanked.fits;P195+42_mosaic-blanked.fits;P27Hetdex09_mosaic-blanked.fits;P30Hetdex06_mosaic-blanked.fits;P32Hetdex08_mosaic-blanked.fits;P33Hetdex08_mosaic-blanked.fits;P34Hetdex06_mosaic-blanked.fits;P35Hetdex10_mosaic-blanked.fits;P8Hetdex28_mosaic-blanked.fits
P244+48_mosaic-blanked.fits,244.51838210321196,47.597816665007635,2.600637239276204,P240+45_mosaic-blanked.fits;P240+48_mosaic-blanked.fits;P243+45_mosaic-blanked.fits;P243+50_mosaic-blanked.fits;P244+53_mosaic-blanked.fits
P210+45_mosaic-blanked.fits,210.92141184460735,44.89271666515732,2.7943706697783854,P1Hetdex15_mosaic-blanked.fits;P207+45_mosaic-blanked.fits;P209+42_mosaic-blanked.fits;P210+47_mosaic-blanked.fits;P211+50_mosaic-blanked.fits;P212+42_mosaic-blanked.fits;P213+47_mosaic-blanked.fits;P214+45_mosaic-blanked.fits
P15Hetdex13_mosaic-blanked.fits,176.8003833361637,47.493116665013716,2.4718716844223474,P11Hetdex12_mosaic-blanked.fits;P13Hetdex12_mosaic-blanked.fits;P14Hetdex04_mosaic-blanked.fits;P16Hetdex13_mosaic-blanked.fits;P177+42_mosaic-blanked.fits;P17_mosaic-blanked.fits;P18Hetdex03_mosaic-blanked.fits;P19Hetdex17_mosaic-blanked.fits
P244+53_mosaic-blanked.fits,244.72331370644213,52.6180166646838,2.7703419300507726,P240+53_mosaic-blanked.fits;P241+55_mosaic-blanked.fits;P243+50_mosaic-blanked.fits;P244+48_mosaic-blanked.fits;P245+55_mosaic-blanked.fits;P246+58_mosaic-blanked.fits
P212+60_mosaic-blanked.fits,212.602167735291,59.957516664047056,2.9306202020522254,P207+60_mosaic-blanked.fits;P208+57_mosaic-blanked.fits;P213+57_mosaic-blanked.fits;P214+55_mosaic-blanked.fits;P217+57_mosaic-blanked.fits;P217+60_mosaic-blanked.fits
