fitsfile,center_ra,center_dec,radius,overlaps
P18Hetdex03_mosaic-blanked.fits,178.92135514997256,49.748416664877155,0.5909375000000001,P14Hetdex04_mosaic-blanked.fits;P15Hetdex13_mosaic-blanked.fits;P16Hetdex13_mosaic-blanked.fits;P178+55_mosaic-blanked.fits;P17_mosaic-blanked.fits;P19Hetdex17_mosaic-blanked.fits;P21_mosaic-blanked.fits;P22Hetdex04_mosaic-blanked.fits
P216+42_mosaic-blanked.fits,216.31543564386388,42.412816665282634,0.6278125000000001,P212+42_mosaic-blanked.fits;P214+45_mosaic-blanked.fits;P217+47_mosaic-blanked.fits;P218+45_mosaic-blanked.fits;P219+42_mosaic-blanked.fits
P022+34_mosaic-blanked.fits,22.918699553968683,33.63421666565879,0.7421875000000001,P022+36_mosaic-blanked.fits;P023+29_mosaic-blanked.fits;P024+39_mosaic-blanked.fits;P026+34_mosaic-blanked.fits;P027+31_mosaic-blanked.fits
P013+26_mosaic-blanked.fits,13.309636331689267,26.021316665927067,0.6703125000000001,
P240+43_mosaic-blanked.fits,240.88643434878907,42.556216665275684,0.7153125000000001,P236+45_mosaic-blanked.fits;P237+43_mosaic-blanked.fits;P240+45_mosaic-blanked.fits;P240+48_mosaic-blanked.fits;P243+45_mosaic-blanked.fits
P121+32_mosaic-blanked.fits,121.56350943591558,31.85761666572521,0.6925000000000001,P116+34_mosaic-blanked.fits
P155+52_mosaic-blanked.fits,155.67132127083835,52.128516664718525,0.7937500000000002,P150+50_mosaic-blanked.fits;P151+55_mosaic-blanked.fits;P152+47_mosaic-blanked.fits;P154+50_mosaic-blanked.fits;P155+55_mosaic-blanked.fits;P155+57_mosaic-blanked.fits;P156+47_mosaic-blanked.fits;P158+50_mosaic-blanked.fits;P159+52_mosaic-blanked.fits;P160+55_mosaic-blanked.fits
P218+45_mosaic-blanked.fits,218.2324114279301,44.933416665155164,0.7321875000000001,P213+47_mosaic-blanked.fits;P214+45_mosaic-blanked.fits;P215+50_mosaic-blanked.fits;P216+42_mosaic-blanked.fits;P217+47_mosaic-blanked.fits;P219+42_mosaic-blanked.fits;P219+50_mosaic-blanked.fits;P221+45_mosaic-blanked.fits;P221+47_mosaic-blanked.fits
P191+55_mosaic-blanked.fits,191.55727668648646,54.826616664516855,0.6484375000000001,P187+55_mosaic-blanked.fits;P189+57_mosaic-blanked.fits;P191+60_mosaic-blanked.fits;P193+57_mosaic-blanked.fits;P196+55_mosaic-blanked.fits;P29Hetdex19_mosaic-blanked.fits;P33Hetdex08_mosaic-blanked.fits
P240+45_mosaic-blanked.fits,240.20141010963184,45.06161666514838,0.7337500000000001,P236+45_mosaic-blanked.fits;P236+48_mosaic-blanked.fits;P237+43_mosaic-blanked.fits;P239+50_mosaic-blanked.fits;P240+43_mosaic-blanked.fits;P240+48_mosaic-blanked.fits;P243+45_mosaic-blanked.fits;P244+48_mosaic-blanked.fits
P2Hetdex01_mosaic-blanked.fits,161.95135514997256,49.748416664877155,0.6040625000000001,P158+50_mosaic-blanked.fits;P159+52_mosaic-blanked.fits;P160+47_mosaic-blanked.fits;P160+55_mosaic-blanked.fits;P163+45_mosaic-blanked.fits;P3Hetdex16_mosaic-blanked.fits;P4Hetdex16_mosaic-blanked.fits;P6_mosaic-blanked.fits
