label,total_pixels,x_pixels,y_pixels,integrated_intensity,brightest_pixel,brightest_pixel_x,brightest_pixel_y,brightest_pixel_RA,brightest_pixel_DEC,center_of_mass_x,center_of_mass_y,center_of_mass_RA,center_of_mass_DEC,center_of_gaus_fit_x,center_of_gaus_fit_y,center_of_gaus_fit_RA,center_of_gaus_fit_DEC,fit_x_axis,fit_y_axis,fit_theta,deconv_x,deconv_y,integrated_intensity_fit,ratio_residual,mosaic,comp
P217+57_1768,35,7,7,0.5261835030144952,0.0007030430090722952,1839,7384,220.44829409879293,58.40888555705554,1839.9755937449133,7383.719290597777,220.4475098920552,58.408784123268106,1840.033594524997,7383.5768859039945,220.44745942891026,58.40872574236393,1.6704608739560085,1.856874435021975,0.3456840969290277,0.0,1.7662603761718336,0.541276819984763,0.07958231492364577,P217+57,1768
P222+58_10733,18,4,5,0.2031963595009516,0.00038904864827126666,7900,7308,220.44816843585,58.40923274570721,7899.871924176551,7307.559745866916,220.44828190786987,58.40905113963307,7899.647299892443,7307.698498048023,220.4484568459983,58.409112007698184,1.4008175153260312,2.164241576556768,1.0117381902434197,0.0,3.1580511903687167,0.20505914824604587,0.048268657104393035,P222+58,10733
P217+57_2886,43,6,10,0.6760120067649982,0.0008300387903033269,2674,8147,219.8017812143757,58.73826468128939,2675.860717623228,8145.361161980272,219.8002495914176,58.737604053325796,2675.730426798556,8145.281453892721,219.8003523251299,58.737569300000246,2.2277564629603113,1.5483412365442402,0.2282195332473051,3.3941353550005453,0.0,0.6878018626559326,0.06274400776949472,P217+57,2886
P222+58_11688,19,5,5,0.2512785925213113,0.0005322798388784822,8678,8129,219.80170770516256,58.73892593793168,8678.056567709522,8128.73057346165,219.80167161204585,58.738812753350715,8678.096496332628,8128.68345256549,219.80164119722173,58.738792427220844,1.58124804744102,1.270514481971833,-0.06901185652213168,0.0,0.0,0.25788068815981946,0.07166035112931701,P222+58,11688
P217+57_2669,99,12,11,4.43635343650521,0.004789354582960043,2520,4933,219.84950196433013,57.39770556390707,2519.9658694252985,4932.909043626964,219.8495262980467,57.39766726602643,2519.875918375862,4932.848806434908,219.84959448115455,57.39764108274988,1.9644026037188271,1.8437925787211904,-0.138795027251124,2.323394277837521,1.6885570280067033,4.350909356898328,0.04404747495869167,P217+57,2669
P222+58_11765,35,7,7,0.555271269375636,0.0008036976613851718,8753,4910,219.84997806918014,57.397460001895936,8753.333725491717,4909.0173266192,219.8497517827052,57.397045110666724,8753.499602768943,4909.019572104181,219.84962350302604,57.3970431629244,1.9208515238583816,1.5075884219193652,0.13684551759059735,2.111842337753229,0.0,0.5691185400707365,0.06964369478466884,P222+58,11765
P217+57_2868,38,7,8,0.4910781019949997,0.0005134168874681867,2661,3535,219.71121908514166,56.817078180531794,2661.3905642133427,3534.5034274022028,219.71091161533263,56.816875761074044,2661.3848231236925,3534.5547689418268,219.71091703954124,56.81689708193952,1.9026100183639945,2.1064649460026517,-2.2089655834579727,2.018198653814959,2.9334333534840917,0.5075370808442857,0.10605990876029606,P217+57,2868
P222+58_12039,43,8,11,0.5185065275991635,0.0004582246433945159,8992,3525,219.71189648034425,56.81663022972344,8995.196310254001,3518.847916876149,219.70966794070745,56.81401084009008,8997.0,3525.4286840393797,219.7080779899864,56.81671751251784,8.0,6.361622082774901,-2.1861212292971444,18.409002049179414,14.436572903592234,0.4947609112292189,0.5265042528849625,P222+58,12039
P217+57_5346,20,4,6,0.20613063578005594,0.00037513579239801235,4141,8049,218.62294494892518,58.70956039071255,4141.348729752502,8048.890421850177,218.62266419849618,58.70951634842425,4141.20196485656,8049.1120207246095,218.6227839473811,58.70960801385091,2.679003479636516,1.2759805926022985,0.13073252366526006,4.8783264809834215,0.0,0.20850160669478904,0.06235387331617572,P217+57,5346
P217+60_3269,105,16,12,1.8034865890163017,0.0009836806081608123,3813,1809,218.62357785193558,58.70882146605349,3809.692901518083,1812.289752996577,218.6262641524843,58.71017478456168,3809.541274030151,1812.691399165564,218.6263898686998,58.71034135486007,1.8776228587779171,5.03092915853152,0.5009114694078773,1.883970120698353,11.151224929245718,1.8404759863960771,0.13326382643675908,P217+60,3269
P217+57_7658,26,5,7,0.2718046337321717,0.00038645803052339415,5579,9208,217.46370718281761,59.19423638097804,5579.965237530357,9207.072823283164,217.46292641489552,59.19384751819946,5579.877547950867,9207.181185231413,217.46299722704185,59.19389290420784,2.2082554917895814,1.4184801394227702,-0.5235672838160612,3.3227188696557417,0.0,0.27740438237237464,0.10698023101479943,P217+57,7658
P217+60_4986,18,4,6,0.23371910560391346,0.0004485231839966239,5254,2969,217.46313261993618,59.19465785881992,5254.988432226386,2968.2971737624434,217.46233113701211,59.194363027445775,5254.7232291222,2968.288345868979,217.46254693854786,59.19435987588031,1.9154307115674982,1.2084840852251917,-0.1407536618386519,2.084361256489851,0.0,0.2387202680603151,0.09675272985289766,P217+60,4986
P217+57_7957,70,9,9,2.4944064070177814,0.0029064385399292787,5729,7324,217.35335845607403,58.40861921402745,5728.983606530972,7324.175609690896,217.35337043442172,58.40869244364459,5729.014323934589,7324.199996793272,217.35334585546872,58.40870250979639,1.918669336214264,1.8056625292252084,0.5246595200924139,2.1008135294293915,1.4420789671917476,2.496666122377793,0.02262721231905912,P217+57,7957
P217+60_5177,42,21,3,0.5747789151263485,0.0005460643385131237,5400,1083,217.35406147670398,58.408322571483296,5385.721336692257,1092.4246423114353,217.36537222190861,58.41228853707103,5385.721336692257,1085.0,217.36540846352923,58.40919382588968,21.0,3.0,0.0,49.28917987769209,5.822937145489041,0.44154532592663065,0.6613046618714506,P217+60,5177
P217+57_7989,21,6,5,0.2390411588008848,0.00045367851684559015,5750,8117,217.3316542049337,58.739019824431075,5748.93162436592,8117.6581331261605,217.3325078211176,58.739297590004035,5748.917676438053,8117.800205118856,217.33251811536053,58.73935684465625,1.6029647060074568,1.4131863520702488,0.21605100394137294,0.0,0.0,0.24376279245850985,0.12620995787283362,P217+57,7989
P217+60_5221,39,7,7,0.8744944275894262,0.0012589211948580811,5422,1875,217.3323815895162,58.73835607196801,5422.237834940061,1875.2265251558813,217.33218942274416,58.73844981002974,5422.310085575596,1875.167713455783,217.3321317270064,58.738425097006505,1.799460367931997,1.604166683461335,0.24885189185368214,1.3984291382927818,0.0,0.8906448347106097,0.040261250882124934,P217+60,5221
P217+57_661,16,4,5,0.12960508496243867,0.00023855360139808735,899,7773,221.2107464722493,58.553745679723654,900.1595074914757,7772.670348348874,221.20980798005775,58.55363226280653,900.299138966683,7772.756015603879,221.20969995274297,58.553670784838616,2.1851255435300896,1.2852452623512791,0.07679680122303825,3.2368143438418566,0.0,0.13150229161362426,0.1176895622375247,P217+57,661
P222+60_7401,58,8,9,1.9832970446133182,0.0024858784943852233,6909,1244,221.2102068420294,58.554246763334476,6910.207656446424,1243.1992238059845,221.20925917867115,58.553899810185,6910.1910273337,1243.1780283836313,221.20927289791317,58.55389116215175,1.8478563657696023,1.7532231869299213,0.15089878966748002,1.7130131364564276,1.0221152255602397,2.0036537937334655,0.02528232933186113,P222+60,7401
P160+57_5884,43,7,8,0.6480504471639075,0.0007303488087896758,3854,6469,161.03752114024005,57.86922456565197,3855.356710625513,6468.799166537148,161.0364565964763,57.869146952739115,3855.331445257784,6468.6884103898265,161.03647545109345,57.86910069065782,1.8464794055417124,1.9884738758746732,0.5319821011164134,1.7047597913711217,2.4342943226279155,0.6608603411283821,0.0648196275482741,P160+57,5884
P161+60_5507,16,4,6,0.15690256017465545,0.0003237865353913632,4543,128,161.0377782992791,57.86898774634344,4544.111189992048,127.3565862751718,161.0369081235537,57.86871919709082,4543.94837670361,127.35389991712805,161.03703567499736,57.868718125304916,1.9024068318350635,1.017241408293347,-0.09574677880947714,2.017136255534305,0.0,0.16220192708692713,0.13400167084842549,P161+60,5507
P160+57_2177,65,9,9,1.8818657915718744,0.0020667962855264368,1917,1035,162.42297105828908,55.588344424711245,1916.6993743016683,1034.7863799137328,162.42318784170837,55.58825153209812,1916.706188360044,1034.7647123059269,162.42318233171747,55.58824259299362,1.9313185771518664,1.8778806534593775,0.7049539157909007,2.1641313354246363,1.8853943812233027,1.9131286137197612,0.015991733232691627,P160+57,2177
